"Run","Algorithm","value"
48,"kdeos",0.170999999999992
48,"rdos",2.67600000000002
49,"stray",0.032999999999987
49,"lookoutNew",0.078000000000003
49,"lookoutOld",0.0769999999999982
49,"HDoutliers",0.0139999999999816
49,"kdeos",0.218999999999994
49,"rdos",4.042
50,"stray",0.0310000000000059
50,"lookoutNew",0.0869999999999891
50,"lookoutOld",0.0679999999999836
50,"HDoutliers",0.0100000000000193
50,"kdeos",0.186999999999983
50,"rdos",2.833
51,"stray",0.0360000000000014
51,"lookoutNew",0.0889999999999986
51,"lookoutOld",0.061000000000007
51,"HDoutliers",0.0129999999999768
51,"kdeos",0.179000000000002
51,"rdos",2.41899999999998
52,"stray",0.0269999999999868
52,"lookoutNew",0.0869999999999891
52,"lookoutOld",0.0769999999999982
52,"HDoutliers",0.0159999999999911
52,"kdeos",0.171000000000021
52,"rdos",2.636
53,"stray",0.0310000000000059
53,"lookoutNew",0.0790000000000077
53,"lookoutOld",0.0740000000000123
53,"HDoutliers",0.0149999999999864
53,"kdeos",0.21599999999998
53,"rdos",2.62
54,"stray",0.0289999999999964
54,"lookoutNew",0.0889999999999986
54,"lookoutOld",0.0760000000000218
54,"HDoutliers",0.0120000000000005
54,"kdeos",0.173999999999978
54,"rdos",2.59300000000002
55,"stray",0.0289999999999964
55,"lookoutNew",0.0810000000000173
55,"lookoutOld",0.0649999999999977
55,"HDoutliers",0.0109999999999957
55,"kdeos",0.167000000000002
55,"rdos",2.33199999999999
56,"stray",0.025999999999982
56,"lookoutNew",0.0829999999999984
56,"lookoutOld",0.0670000000000073
56,"HDoutliers",0.0100000000000193
56,"kdeos",0.192000000000007
56,"rdos",2.815
57,"stray",0.0330000000000155
57,"lookoutNew",0.0790000000000077
57,"lookoutOld",0.0699999999999932
57,"HDoutliers",0.0120000000000005
57,"kdeos",0.171999999999997
57,"rdos",2.39099999999999
58,"stray",0.0270000000000152
58,"lookoutNew",0.078000000000003
58,"lookoutOld",0.0750000000000171
58,"HDoutliers",0.00999999999999091
58,"kdeos",0.180000000000007
58,"rdos",2.733
59,"stray",0.0369999999999777
59,"lookoutNew",0.0819999999999936
59,"lookoutOld",0.0640000000000214
59,"HDoutliers",0.0109999999999957
59,"kdeos",0.175000000000011
59,"rdos",2.499
